course_id,course_number,title,current_period_count,selected_period_count,status,candidate_counts,changed
6fb7a7ef-e987-4c32-bc92-6332b518aa1c,Comp Sci 483,Operating Systems,1,1,exact,{1: 1},no
0dbd10fb-ace0-402f-b62c-9794dc8035f2,Comp Sci 495,Special Topics,1,1,exact,{1: 1},no
76d82a37-4b6d-4851-ad0e-1a45d16357b1,Comp Sci 496,Computer Science Seminar,1,1,exact,{1: 1},no
735b9c03-9c9d-4718-b097-ec48ee4e0bf9,Comp Sci 499,Independent Study,0,0,exact,{0: 1},no
2c35ebfc-2640-4cae-8e1b-e23bc71a2e90,Comp Sci 499A,Independent Study,0,0,exact,{0: 1},no
8b0d8f00-6d01-42da-a014-c57f075902bc,Comp Sci 499B,Independent Study,0,0,exact,{0: 1},no
4f3135aa-9f21-4790-a37c-68736963c9b5,Comp Sci 499C,Independent Study,0,0,exact,{0: 1},no
756f6f26-da49-4fd2-ac1b-4fd4dc3f5ab8,Creat Art 300,Creative Writing: Prose (Fiction/Nonfiction),1,1,exact,{1: 1},no
b48e3711-d953-48fe-9674-4c16425e918e,Creat Art 305,"Creative Writing: Poetry, Drama, Adaptation",1,1,exact,{1: 1},no
0d33c670-ad41-42c3-b76f-f2e45baaa8a8,Creat Art 310,Film Studies,1,1,exact,{1: 1},no
76a01eb8-a39f-4b31-aa0e-e96f1534e8ad,Creat Art 315,Drawing and Visual Design,1,1,exact,{1: 1},no
91af10cb-43d6-4ff3-8401-e9bb50a74e30,Creat Art 320,Painting,1,1,exact,{1: 1},no
ebc431e3-834b-4e94-9d97-11fd8ccaf346,Creat Art 325,Art of Photography,1,1,exact,{1: 1},no
5345f22a-7965-480f-9f75-1843156a38fa,Creat Art 330,Art Seminar,1,1,exact,{1: 1},no
b82e91c8-dd6d-4409-a58a-4c2c856a4a9a,Creat Art 335,Music Seminar,1,1,exact,{1: 1},no
977db3c1-5bb3-462b-a5e4-28ae7b1eac28,Creat Art 340,Fiction and Future Conflict,1,1,exact,{1: 1},no
7cbb93d8-73ef-41cc-8d7f-637745858abf,Creat Art 495,Special Topics,1,1,exact,{1: 1},no
08051447-8265-4f3a-82fb-8796e81348dd,Creat Art 499,Independent Study,0,0,exact,{0: 1},no
db67e8ac-62c8-4e12-827d-a0c095d5b50f,Creat Art 499A,Independent Study,0,0,exact,{0: 1},no
0145e58e-a0c6-448e-a0c2-47fbbb184a23,Creat Art 499B,Independent Study,0,0,exact,{0: 1},no
b08d26f5-c04e-449f-8af2-6dbbe890c762,Creat Art 499C,Independent Study,0,0,exact,{0: 1},no
0bffbb88-2e93-4153-97c9-bbfee6db98ba,Cyber Sci 333,Cyber Warfare,2,2,exact,{2: 1},no
e38f3ffa-9ea5-47bc-84c2-00db15506cc7,Cyber Sci 334,Cyber Defense,1,1,exact,{1: 1},no
a901c937-bba5-4575-8aff-fc860573a570,Cyber Sci 405,Cyber Science Colloquium I,1,1,exact,{1: 1},no
68d6458a-20f5-4014-9e90-84e65da6f01f,Cyber Sci 406,Cyber Science Colloquium II,1,1,exact,{1: 1},no
c981669f-940a-4b6f-8263-e1cda83ddfdc,Cyber Sci 431,Cryptography,1,1,exact,{1: 1},no
598e698b-b6e0-41bb-a06e-e30e8ba2511b,Cyber Sci 435,Cyber Operations,1,1,exact,{1: 1},no
2e782535-f028-4e85-b184-ffb2cd8582f2,Cyber Sci 438,Cyber Science Capstone I,2,2,exact,{2: 1},no
7cd8b8db-e08a-4c18-8372-09087627eefc,Cyber Sci 439,Cyber Science Capstone II,2,2,exact,{2: 1},no
292deab8-79ee-4cb1-9595-a0d0da439fba,Cyber Sci 495,Special Topics,1,1,exact,{1: 1},no
e54131f1-25bc-46ff-b6d1-ae89bf9d3d95,Cyber Sci 499,Independent Study,0,0,exact,{0: 1},no
08782081-fa9c-4fdc-9e4b-3db0ead5cbaa,Cyber Sci 499A,Independent Study,0,0,exact,{0: 1},no
57aa3f8e-2fa2-44c9-a91d-9a6c3006d89a,Cyber Sci 499B,Independent Study,0,0,exact,{0: 1},no
95c5c36a-90a3-4f9e-9bdd-51ef9f5ccd28,Cyber Sci 499C,Independent Study,0,0,exact,{0: 1},no
271882fc-c4a3-4b30-b5e5-db59de135548,Data 364,Data Acquisition and Management,1,1,exact,{1: 1},no
35d6ce62-2370-40e4-9d49-6756219e078a,Data 421,Data Science Capstone I,2,2,exact,{2: 1},no
b3c703d8-25a9-4b12-b622-06f17dbecd4d,Data 422,Data Science Capstone II,2,2,exact,{2: 1},no
2700c65c-0750-4936-ab3a-fcbac0016dbe,Data 495,Special Topics,1,1,exact,{1: 1},no
e610dca6-742a-4c13-a866-c4b75cb3c94c,Data 499,Independent Study,0,0,exact,{0: 1},no
22e166d2-9079-4444-9a04-bfcba3072fe6,Data 499A,Independent Study,0,0,exact,{0: 1},no
31360f59-e29b-48c7-8679-313a05cfa432,Data 499B,Independent Study,0,0,exact,{0: 1},no
f708c31b-5169-4a57-bafd-3123c3af4978,Data 499C,Independent Study,0,0,exact,{0: 1},no
e9ecc0a1-dcf9-43f1-be1e-11da0104a326,Division Hum 200S,Introduction to the Humanities,,,no_match,,no
ea852df6-5b2c-4cfd-a6d0-126609613d51,EAP 109,Academic Communication for English as a Second Language Four-year Exchange Cadets,1,1,exact,{1: 1},no
5840ed54-892e-46f0-962c-4c414f97eef4,EAP 209,Academic Communication for English as a Second Language Semester-Exchange Cadets,1,1,exact,{1: 1},no
2ae9f23a-5817-4b3d-9127-87eac4906a95,ECE 210,Introduction to Electrical and Computer Engineering,1,1,exact,{1: 1},no
c5cb9cc0-fcb6-4ac7-9424-65d58902966d,ECE 215,Principles of Electronic Cyber Warfare,1,1,exact,{1: 1},no
01ad91af-95b8-45af-b6ed-4cc5e5aa5851,ECE 215S,Principles of Electronic Cyber Warfare for Academy Scholars,1,1,exact,{1: 1},no
8beba075-d00a-4b02-90a1-efd186bfe42f,ECE 245,Differential Equations with Circuit Applications I,1,1,exact,{1: 1},no
