action,course_id,course_number,current_title,current_credit_hours,current_designated_semester,current_offered_periods_json,current_standing_requirement,current_additional_requirements_text,current_min_section_size,new_title,new_credit_hours,new_designated_semester,new_offered_periods_json,new_standing_requirement,new_additional_requirements_text,prereq_numbers_semicolon,coreq_numbers_semicolon,notes
,db981b28-d182-4bf2-9f68-bec33b978627,CS 101,Intro CS,3.0,1,,,,6,,,,,,,,,
,e97e8016-992f-4d75-b8e8-871d138fd302,CS 102,Intro CS 2,3.0,1,,,,6,,,,,,,,,
,51672042-0355-41cd-9ae1-7d7483986d7d,CS 201,Data Structures,3.0,6,,,,6,,,,,,,,,
,1f61de85-7bac-4016-8894-b7fd7e186f63,CS 202,Algorithms,3.0,7,,,,6,,,,,,,,,
,2795ee8b-102a-4ad7-aa25-4683b4115c46,CS 210,Programming Fundamentals,3.0,6,,,,6,,,,,,,,,
,4a4235d6-4b57-4e8e-a891-8a4be09f766f,CS 310,Systems Analysis,3.0,11,,,,6,,,,,,,,,
,912eefae-a32d-4f5b-a8bf-f0c8bcb46537,Chem 100,General Chemistry I Lecture and Lab,3.0,,,,,6,,,,,,,,,
,eb4a2c66-a951-41f0-aad6-195db6d79888,Chem 200,General Chemistry II Lecture and Lab,3.0,,,,,6,,,,,,,,,
,1cfc8c02-8220-4cb0-949e-7a19c91ba44a,Chem 222,Analytical Chemistry,3.0,,,,,6,,,,,,,,,
,c3946858-1ca8-4357-99cc-b887bb61c914,Chem 230,Introductory Organic Chemistry,3.0,,,,,6,,,,,,,,,
,764a6d08-e75d-49cc-88e0-476039f01b44,Chem 233,Organic Chemistry I,3.0,,,,,6,,,,,,,,,
,f4b0679f-0d2c-4ffc-8d2d-9af69de9c4fb,Chem 234,Organic Chemistry II,3.0,,,,,6,,,,,,,,,
,284e9341-0205-4c19-8780-08ec47b8a07a,Chem 243,Organic Chemistry Laboratory,3.0,,,,,6,,,,,,,,,
,931c871d-0279-4f3e-a9f5-491afd9e581f,Chem 325,Space Chemistry,3.0,,,,,6,,,,,,,,,
